dataset,split,reported_subset,used_for_reported_metrics,image_filename,label_filename,source_scene_id,original_patch_id,subpatch_row,subpatch_col,image_relpath,label_relpath,notes
38-Cloud,train,train,true,patch_100_5_by_12_LC08_L1TP_061017_20160720_20170223_01_T1.png,patch_100_5_by_12_LC08_L1TP_061017_20160720_20170223_01_T1.png,LC08_L1TP_061017_20160720_20170223_01_T1,patch_100_5_by_12_LC08_L1TP_061017_20160720_20170223_01_T1,,,38-Cloud/train/img/patch_100_5_by_12_LC08_L1TP_061017_20160720_20170223_01_T1.png,38-Cloud/train/label/patch_100_5_by_12_LC08_L1TP_061017_20160720_20170223_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_12_LC08_L1TP_063016_20160920_20170221_01_T1.png,patch_100_5_by_12_LC08_L1TP_063016_20160920_20170221_01_T1.png,LC08_L1TP_063016_20160920_20170221_01_T1,patch_100_5_by_12_LC08_L1TP_063016_20160920_20170221_01_T1,,,38-Cloud/train/img/patch_100_5_by_12_LC08_L1TP_063016_20160920_20170221_01_T1.png,38-Cloud/train/label/patch_100_5_by_12_LC08_L1TP_063016_20160920_20170221_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_12_LC08_L1TP_064014_20160420_20170223_01_T1.png,patch_100_5_by_12_LC08_L1TP_064014_20160420_20170223_01_T1.png,LC08_L1TP_064014_20160420_20170223_01_T1,patch_100_5_by_12_LC08_L1TP_064014_20160420_20170223_01_T1,,,38-Cloud/train/img/patch_100_5_by_12_LC08_L1TP_064014_20160420_20170223_01_T1.png,38-Cloud/train/label/patch_100_5_by_12_LC08_L1TP_064014_20160420_20170223_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_12_LC08_L1TP_064017_20160420_20170223_01_T1.png,patch_100_5_by_12_LC08_L1TP_064017_20160420_20170223_01_T1.png,LC08_L1TP_064017_20160420_20170223_01_T1,patch_100_5_by_12_LC08_L1TP_064017_20160420_20170223_01_T1,,,38-Cloud/train/img/patch_100_5_by_12_LC08_L1TP_064017_20160420_20170223_01_T1.png,38-Cloud/train/label/patch_100_5_by_12_LC08_L1TP_064017_20160420_20170223_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_16_LC08_L1TP_029040_20160720_20170222_01_T1.png,patch_100_5_by_16_LC08_L1TP_029040_20160720_20170222_01_T1.png,LC08_L1TP_029040_20160720_20170222_01_T1,patch_100_5_by_16_LC08_L1TP_029040_20160720_20170222_01_T1,,,38-Cloud/train/img/patch_100_5_by_16_LC08_L1TP_029040_20160720_20170222_01_T1.png,38-Cloud/train/label/patch_100_5_by_16_LC08_L1TP_029040_20160720_20170222_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_16_LC08_L1TP_032029_20160420_20170223_01_T1.png,patch_100_5_by_16_LC08_L1TP_032029_20160420_20170223_01_T1.png,LC08_L1TP_032029_20160420_20170223_01_T1,patch_100_5_by_16_LC08_L1TP_032029_20160420_20170223_01_T1,,,38-Cloud/train/img/patch_100_5_by_16_LC08_L1TP_032029_20160420_20170223_01_T1.png,38-Cloud/train/label/patch_100_5_by_16_LC08_L1TP_032029_20160420_20170223_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_16_LC08_L1TP_034034_20160520_20170223_01_T1.png,patch_100_5_by_16_LC08_L1TP_034034_20160520_20170223_01_T1.png,LC08_L1TP_034034_20160520_20170223_01_T1,patch_100_5_by_16_LC08_L1TP_034034_20160520_20170223_01_T1,,,38-Cloud/train/img/patch_100_5_by_16_LC08_L1TP_034034_20160520_20170223_01_T1.png,38-Cloud/train/label/patch_100_5_by_16_LC08_L1TP_034034_20160520_20170223_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_16_LC08_L1TP_045026_20160720_20170221_01_T1.png,patch_100_5_by_16_LC08_L1TP_045026_20160720_20170221_01_T1.png,LC08_L1TP_045026_20160720_20170221_01_T1,patch_100_5_by_16_LC08_L1TP_045026_20160720_20170221_01_T1,,,38-Cloud/train/img/patch_100_5_by_16_LC08_L1TP_045026_20160720_20170221_01_T1.png,38-Cloud/train/label/patch_100_5_by_16_LC08_L1TP_045026_20160720_20170221_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_16_LC08_L1TP_047023_20160920_20170221_01_T1.png,patch_100_5_by_16_LC08_L1TP_047023_20160920_20170221_01_T1.png,LC08_L1TP_047023_20160920_20170221_01_T1,patch_100_5_by_16_LC08_L1TP_047023_20160920_20170221_01_T1,,,38-Cloud/train/img/patch_100_5_by_16_LC08_L1TP_047023_20160920_20170221_01_T1.png,38-Cloud/train/label/patch_100_5_by_16_LC08_L1TP_047023_20160920_20170221_01_T1.png,
38-Cloud,train,train,true,patch_100_5_by_20_LC08_L1TP_002053_20160520_20170324_01_T1.png,patch_100_5_by_20_LC08_L1TP_002053_20160520_20170324_01_T1.png,LC08_L1TP_002053_20160520_20170324_01_T1,patch_100_5_by_20_LC08_L1TP_002053_20160520_20170324_01_T1,,,38-Cloud/train/img/patch_100_5_by_20_LC08_L1TP_002053_20160520_20170324_01_T1.png,38-Cloud/train/label/patch_100_5_by_20_LC08_L1TP_002053_20160520_20170324_01_T1.png,
