dataset,split,reported_subset,used_for_reported_metrics,image_filename,label_filename,source_scene_id,original_patch_id,subpatch_row,subpatch_col,image_relpath,label_relpath,notes
SPARCS,train,train,true,LC80010812013365LGN00_18_0_0.png,LC80010812013365LGN00_18_0_0.png,LC80010812013365LGN00,LC80010812013365LGN00_18,0,0,SPARCS/train/img/LC80010812013365LGN00_18_0_0.png,SPARCS/train/label/LC80010812013365LGN00_18_0_0.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_0_1.png,LC80010812013365LGN00_18_0_1.png,LC80010812013365LGN00,LC80010812013365LGN00_18,0,1,SPARCS/train/img/LC80010812013365LGN00_18_0_1.png,SPARCS/train/label/LC80010812013365LGN00_18_0_1.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_0_2.png,LC80010812013365LGN00_18_0_2.png,LC80010812013365LGN00,LC80010812013365LGN00_18,0,2,SPARCS/train/img/LC80010812013365LGN00_18_0_2.png,SPARCS/train/label/LC80010812013365LGN00_18_0_2.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_0_4.png,LC80010812013365LGN00_18_0_4.png,LC80010812013365LGN00,LC80010812013365LGN00_18,0,4,SPARCS/train/img/LC80010812013365LGN00_18_0_4.png,SPARCS/train/label/LC80010812013365LGN00_18_0_4.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_1_1.png,LC80010812013365LGN00_18_1_1.png,LC80010812013365LGN00,LC80010812013365LGN00_18,1,1,SPARCS/train/img/LC80010812013365LGN00_18_1_1.png,SPARCS/train/label/LC80010812013365LGN00_18_1_1.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_1_2.png,LC80010812013365LGN00_18_1_2.png,LC80010812013365LGN00,LC80010812013365LGN00_18,1,2,SPARCS/train/img/LC80010812013365LGN00_18_1_2.png,SPARCS/train/label/LC80010812013365LGN00_18_1_2.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_1_3.png,LC80010812013365LGN00_18_1_3.png,LC80010812013365LGN00,LC80010812013365LGN00_18,1,3,SPARCS/train/img/LC80010812013365LGN00_18_1_3.png,SPARCS/train/label/LC80010812013365LGN00_18_1_3.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_1_4.png,LC80010812013365LGN00_18_1_4.png,LC80010812013365LGN00,LC80010812013365LGN00_18,1,4,SPARCS/train/img/LC80010812013365LGN00_18_1_4.png,SPARCS/train/label/LC80010812013365LGN00_18_1_4.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_2_0.png,LC80010812013365LGN00_18_2_0.png,LC80010812013365LGN00,LC80010812013365LGN00_18,2,0,SPARCS/train/img/LC80010812013365LGN00_18_2_0.png,SPARCS/train/label/LC80010812013365LGN00_18_2_0.png,
SPARCS,train,train,true,LC80010812013365LGN00_18_2_2.png,LC80010812013365LGN00_18_2_2.png,LC80010812013365LGN00,LC80010812013365LGN00_18,2,2,SPARCS/train/img/LC80010812013365LGN00_18_2_2.png,SPARCS/train/label/LC80010812013365LGN00_18_2_2.png,
